chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
100.0,50.0,192895,0,0,-1,1,0,2,1.2,0.3,2,Kieran,1.2,17,False,,2020-10-14T10:30:19.613747Z,54,192895.jpg,2.8,Tierney,5.7,False,,a,1,3,11,81954,895,462474,3440,0.2,2.0,Tierney,360,0,0,1,5,0,0,0,0,0,0,0,64,64.2,26.5,13.0,10.4,120,44,147,37,208,65,160,51,,,,,,
,,195735,0,0,-3,3,0,3,2.5,2.0,2,Nicolas,2.5,18,False,,,77,195735.jpg,2.2,Pépé,0.9,False,,a,1,3,11,12399,464,103606,706,0.3,1.4,Pépé,177,1,0,0,3,0,0,0,0,0,0,0,33,38.8,20.5,61.0,12.0,200,79,177,106,69,38,135,69,1.0,,3.0,,2.0,
0.0,0.0,198849,0,0,-2,2,0,3,0.0,0.0,0,Lucas,0.0,19,False,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,48,198849.jpg,0.0,Torreira,0.1,False,,n,1,3,0,3134,6,13434,426,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,493,195,484,196,457,180,497,195,,,,,,
,,200089,0,0,-2,2,0,3,0.0,-0.5,0,Joseph,0.0,20,False,,,48,200089.jpg,0.0,Willock,0.1,False,,a,1,3,0,1420,66,5111,60,0.0,0.0,Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,494,196,485,197,458,181,498,196,,,,,,
75.0,75.0,200641,0,0,-2,2,0,3,0.0,-0.4,0,Reiss,0.0,21,False,Hamstring injury - 75% chance of playing,2020-10-05T10:00:15.059375Z,53,200641.jpg,0.0,Nelson,0.1,False,,d,1,3,0,723,3,4015,70,0.0,0.0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,541,218,538,219,530,212,545,218,5.0,,,,,
,,205533,-1,1,-3,3,0,4,2.8,2.3,1,Edward,2.8,22,False,,,57,205533.jpg,2.4,Nketiah,0.8,False,,a,1,3,12,25449,393,96538,1171,0.5,2.1,Nketiah,97,1,0,0,1,0,0,0,0,0,0,3,42,40.6,3.7,42.0,8.5,187,22,271,40,105,31,194,31,,,,,,
100.0,100.0,209289,0,0,-1,1,0,3,0.0,-0.5,0,Emile,0.0,23,False,,2020-09-11T11:00:08.673059Z,44,209289.jpg,0.0,Smith Rowe,0.2,False,,a,1,3,0,5143,622,10504,204,0.0,0.0,Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,430,172,414,173,374,150,435,172,,,,,,
,,223340,0,0,-2,2,0,3,3.0,2.5,2,Bukayo,3.0,24,False,,,53,223340.jpg,4.0,Saka,3.1,False,,a,1,3,12,50031,2125,348858,2040,0.6,2.3,Saka,264,1,0,0,3,0,0,0,0,0,0,1,55,68.6,43.8,121.0,23.4,113,43,101,70,31,15,51,27,4.0,,,,,
0.0,0.0,242166,0,0,-2,2,0,3,0.0,0.0,0,Matteo,0.0,25,False,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T17:00:15.072120Z,48,242166.jpg,0.0,Guendouzi,0.1,False,,n,1,3,0,2520,3,10108,298,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,496,197,487,198,461,182,500,197,,,,,,
0.0,0.0,444145,0,0,-1,1,0,3,0.0,0.0,0,Gabriel Teodoro,0.0,26,False,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,49,444145.jpg,0.0,Martinelli Silva,0.0,False,,i,1,3,0,527,10,1887,21,0.0,0.0,Martinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,523,207,515,208,500,199,527,207,,,,,,
