chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,gw,name,position
0.0,,37605,0,0,-2,2,0,3,0.0,-0.5,0,Mesut,0.0,1,False,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,37605.jpg,0.0,Özil,0.7,False,,n,1,3,0,3174,241,42418,1658,0.0,0.0,Özil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,585,237,585,236,585,236,586,237,,,,,,,5,Mesut Özil,MID
0.0,100.0,39476,0,0,-1,1,0,2,0.0,-0.5,0,Sokratis,0.0,2,False,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,39476.jpg,0.0,Papastathopoulos,0.1,False,,n,1,3,0,10172,177,16800,243,0.0,0.0,Sokratis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,517,197,507,197,487,188,520,197,,,,,,,5,Sokratis Papastathopoulos,DEF
100.0,100.0,41270,0,0,0,0,0,2,1.7,1.2,2,David,1.7,3,False,,2020-09-10T14:30:11.632386Z,55,41270.jpg,1.5,Luiz Moreira Marinho,1.1,False,,a,1,3,6,24340,3952,45721,2721,0.3,1.1,David Luiz,271,0,0,0,5,0,0,0,0,0,0,0,39,57.8,7.3,19.0,8.4,154,61,263,81,198,57,217,70,,,4.0,,,,5,David Luiz Moreira Marinho,DEF
100.0,75.0,54694,0,0,-2,2,0,3,2.0,1.1,2,Pierre-Emerick,2.0,4,False,,2020-10-08T09:00:12.305506Z,118,54694.jpg,3.6,Aubameyang,17.6,False,,a,1,3,18,341746,8133,2239368,158652,0.2,1.5,Aubameyang,450,1,1,1,6,0,0,0,1,0,0,0,61,86.8,87.1,105.0,27.9,87,30,45,34,38,19,43,23,,,6.0,,1.0,,5,Pierre-Emerick Aubameyang,MID
100.0,100.0,58822,0,0,-2,2,0,2,0.0,-0.5,0,Cédric,0.0,5,False,,2020-09-23T09:00:14.881983Z,48,58822.jpg,0.0,Soares,0.2,False,,a,1,3,0,2258,172,28193,742,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,505,193,492,193,466,182,508,193,,,,,,,5,Cédric Soares,DEF
,,59966,0,0,0,0,0,4,2.7,2.2,1,Alexandre,2.7,6,False,,,85,59966.jpg,5.5,Lacazette,4.3,False,,a,1,3,22,236289,4759,262562,39745,0.3,2.6,Lacazette,256,3,0,1,3,0,0,0,0,0,0,3,82,112.0,29.8,134.0,27.6,50,11,152,20,28,17,44,16,,,5.0,,3.0,,5,Alexandre Lacazette,FWD
0.0,0.0,69140,0,0,0,0,0,2,0.0,0.0,0,Shkodran,0.0,7,False,Hamstring injury - Expected back 25 Oct,2020-08-15T10:00:11.331812Z,50,69140.jpg,0.0,Mustafi,0.0,False,,i,1,3,0,9872,44,10253,52,0.0,0.0,Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,543,207,536,207,525,202,546,207,,,,,,,5,Shkodran Mustafi,DEF
,,80201,0,0,0,0,0,1,2.7,2.2,3,Bernd,2.7,8,False,,,50,80201.jpg,3.4,Leno,9.7,False,,a,1,3,17,316590,20602,247681,20439,0.5,3.4,Leno,450,0,0,1,6,0,0,0,0,0,14,2,100,110.6,0.0,0.0,11.1,51,7,538,56,527,55,169,8,,,,,,,5,Bernd Leno,GK
,,84450,0,0,-1,1,0,3,1.3,0.8,2,Granit,1.3,9,False,,,54,84450.jpg,1.8,Xhaka,0.6,False,,a,1,3,9,19479,568,40548,2619,0.2,1.7,Xhaka,317,0,0,1,5,0,0,0,0,0,0,0,42,37.8,29.1,21.0,8.7,221,88,156,96,192,103,207,95,,,2.0,,,,5,Granit Xhaka,MID
0.0,0.0,92371,-1,1,-1,1,0,2,0.0,0.0,0,Pablo,0.0,10,False,Ankle injury - Expected back 25 Oct,2020-08-15T10:00:11.357231Z,44,92371.jpg,0.0,Marí,0.0,False,,i,1,3,0,220,37,564,40,0.0,0.0,Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,434,166,413,163,376,149,438,166,,,,,,,5,Pablo Marí,DEF
,,98745,0,0,0,0,0,2,4.3,3.8,2,Héctor,4.3,11,False,,,50,98745.jpg,4.0,Bellerín,5.8,False,,a,1,3,20,239109,26518,176981,14475,0.9,4.0,Bellerín,450,0,2,1,6,0,0,0,2,0,0,3,96,88.6,62.8,12.0,16.4,84,27,65,15,223,72,104,26,,,,,,,5,Héctor Bellerín,DEF
0.0,0.0,101184,0,0,0,0,0,2,0.0,0.0,0,Calum,0.0,13,False,Knee injury - Expected back 25 Oct,2020-08-15T10:00:11.386295Z,45,101184.jpg,0.0,Chambers,0.0,False,,i,1,3,0,273,20,742,39,0.0,0.0,Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,473,185,458,184,424,171,477,185,,,,,,,5,Calum Chambers,DEF
,,111457,-1,1,-2,2,0,2,0.0,-0.5,0,Sead,0.0,14,False,,,48,111457.jpg,2.0,Kolasinac,0.2,False,,a,1,3,2,3983,176,12851,863,0.0,0.4,Kolasinac,90,0,0,0,1,0,0,0,0,0,0,0,9,3.6,5.4,4.0,1.3,353,133,270,83,285,95,353,130,,,,,,,5,Sead Kolasinac,DEF
,,154043,0,0,-1,1,0,2,0.7,0.2,0,Ainsley,0.7,15,False,,,49,154043.jpg,2.7,Maitland-Niles,1.4,False,,a,1,3,8,43385,1179,89509,7424,0.1,1.6,Maitland-Niles,183,0,0,1,3,0,0,0,0,0,0,0,33,20.2,4.3,7.0,3.2,274,112,276,88,261,83,309,108,,,,,,,5,Ainsley Maitland-Niles,DEF
75.0,,156074,0,0,0,0,0,2,0.2,-0.2,0,Rob,0.3,16,False,Hamstring injury - 75% chance of playing,2020-10-17T22:30:19.025474Z,45,156074.jpg,3.0,Holding,2.0,False,,d,1,3,9,158840,604,129454,19142,0.1,2.0,Holding,270,0,0,1,4,0,0,0,0,0,0,0,58,66.2,1.6,0.0,6.8,133,50,313,111,432,174,250,85,,,,,,,5,Rob Holding,DEF
100.0,50.0,192895,0,0,-1,1,0,2,1.7,0.6,2,Kieran,1.7,17,False,,2020-10-14T10:30:19.613747Z,54,192895.jpg,2.8,Tierney,5.6,False,,a,1,3,11,85888,4829,473391,14357,0.3,2.0,Tierney,360,0,0,1,5,0,0,0,0,0,0,0,64,64.2,26.5,13.0,10.4,136,53,168,46,221,71,180,59,,,,,,,5,Kieran Tierney,DEF
