element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,player_id,name,position,team
87.0,48.0,18.0,2.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,76.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.4,11.8,57.0,7.8,60.0,690.0,7906.0,1879.0,1189.0,87,Ashley Barnes,FWD,4
88.0,14.0,9.0,0.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-7386.0,20376.0,129.0,7515.0,88,Ben Mee,DEF,4
88.0,20.0,16.0,0.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-4983.0,15704.0,129.0,5112.0,88,Ben Mee,DEF,4
88.0,36.0,14.0,0.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-2417.0,13517.0,76.0,2493.0,88,Ben Mee,DEF,4
88.0,48.0,18.0,0.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,-1309.0,12294.0,127.0,1436.0,88,Ben Mee,DEF,4
89.0,14.0,9.0,2.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.6,25.3,0.0,3.3,55.0,-6566.0,55990.0,1093.0,7659.0,89,Ashley Westwood,MID,4
89.0,20.0,16.0,2.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.8,24.9,0.0,3.5,55.0,-7504.0,49202.0,1577.0,9081.0,89,Ashley Westwood,MID,4
89.0,36.0,14.0,8.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,90.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,42.2,3.7,17.0,6.3,55.0,-4586.0,45251.0,1017.0,5603.0,89,Ashley Westwood,MID,4
89.0,48.0,18.0,2.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,13.2,17.5,2.0,3.3,54.0,-1973.0,44448.0,3059.0,5032.0,89,Ashley Westwood,MID,4
90.0,14.0,9.0,0.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-1061.0,5338.0,218.0,1279.0,90,Johann Berg Gudmundsson,MID,4
90.0,20.0,16.0,0.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-1643.0,3728.0,9651.0,11294.0,90,Johann Berg Gudmundsson,MID,4
90.0,36.0,14.0,1.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.8,1.3,0.0,0.5,54.0,-598.0,3193.0,19.0,617.0,90,Johann Berg Gudmundsson,MID,4
90.0,48.0,18.0,3.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,68.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.6,15.9,9.0,3.3,54.0,-190.0,3106.0,58.0,248.0,90,Johann Berg Gudmundsson,MID,4
91.0,14.0,9.0,6.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,90.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,37.2,1.1,44.0,8.2,65.0,-10246.0,139905.0,11817.0,22063.0,91,Chris Wood,FWD,4
91.0,20.0,16.0,2.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,3.1,25.0,2.9,65.0,11334.0,158345.0,45880.0,34546.0,91,Chris Wood,FWD,4
91.0,36.0,14.0,2.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,1.1,33.0,3.5,65.0,-20647.0,138067.0,9361.0,30008.0,91,Chris Wood,FWD,4
91.0,48.0,18.0,2.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,2.5,39.0,3.6,64.0,-22180.0,118759.0,7515.0,29695.0,91,Chris Wood,FWD,4
92.0,14.0,9.0,0.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,-439.0,11308.0,552.0,991.0,92,Matthew Lowton,DEF,4
92.0,20.0,16.0,0.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,-1256.0,10565.0,472.0,1728.0,92,Matthew Lowton,DEF,4
92.0,36.0,14.0,0.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,-1568.0,9176.0,85.0,1653.0,92,Matthew Lowton,DEF,4
92.0,48.0,18.0,0.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,-1675.0,7525.0,17.0,1692.0,92,Matthew Lowton,DEF,4
93.0,14.0,9.0,1.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.2,10.6,36.0,5.1,50.0,3138.0,48709.0,11518.0,8380.0,93,Matej Vydra,FWD,4
93.0,20.0,16.0,2.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.2,16.5,27.0,4.8,50.0,928.0,54686.0,14612.0,13684.0,93,Matej Vydra,FWD,4
93.0,36.0,14.0,1.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,2.0,0.2,50.0,2386.0,61472.0,14835.0,12449.0,93,Matej Vydra,FWD,4
93.0,48.0,18.0,0.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-3363.0,60991.0,10605.0,13968.0,93,Matej Vydra,FWD,4
94.0,14.0,9.0,0.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-3221.0,17434.0,558.0,3779.0,94,Ben Gibson,DEF,4
94.0,20.0,16.0,0.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-2394.0,15347.0,597.0,2991.0,94,Ben Gibson,DEF,4
94.0,36.0,14.0,0.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-499.0,15182.0,1184.0,1683.0,94,Ben Gibson,DEF,4
94.0,48.0,18.0,0.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-1992.0,13182.0,285.0,2277.0,94,Ben Gibson,DEF,4
95.0,14.0,9.0,1.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.2,0.3,17.0,2.5,50.0,-260.0,4930.0,373.0,633.0,95,Robbie Brady,MID,4
95.0,20.0,16.0,0.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-1105.0,3913.0,186.0,1291.0,95,Robbie Brady,MID,4
95.0,36.0,14.0,0.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-805.0,3161.0,33.0,838.0,95,Robbie Brady,MID,4
95.0,48.0,18.0,1.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.2,0.0,0.2,50.0,-177.0,3250.0,146.0,323.0,95,Robbie Brady,MID,4
96.0,14.0,9.0,1.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,22.6,0.0,0.0,2.3,55.0,-36200.0,1047580.0,33990.0,70190.0,96,Nick Pope,GK,4
96.0,20.0,16.0,2.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.4,0.0,0.0,0.2,55.0,-54570.0,1020672.0,47616.0,102186.0,96,Nick Pope,GK,4
96.0,36.0,14.0,1.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,8.2,0.0,0.0,0.8,55.0,-68364.0,960710.0,11967.0,80331.0,96,Nick Pope,GK,4
96.0,48.0,18.0,11.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,34.0,47.4,0.0,0.0,4.7,55.0,-75519.0,898131.0,23080.0,98599.0,96,Nick Pope,GK,4
97.0,14.0,9.0,3.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,90.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,29.6,29.3,2.0,6.1,45.0,-7381.0,306344.0,25148.0,32529.0,97,Charlie Taylor,DEF,4
97.0,20.0,16.0,2.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.8,3.0,7.0,1.9,45.0,14866.0,328562.0,66644.0,51778.0,97,Charlie Taylor,DEF,4
97.0,36.0,14.0,1.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,3.3,0.0,0.9,45.0,-14700.0,314039.0,13697.0,28397.0,97,Charlie Taylor,DEF,4
97.0,48.0,18.0,5.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,9.8,1.8,0.0,1.2,45.0,-30016.0,286721.0,15815.0,45831.0,97,Charlie Taylor,DEF,4
98.0,14.0,9.0,2.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.4,23.2,9.0,4.3,50.0,-224.0,2586.0,131.0,355.0,98,Josh Brownhill,MID,4
98.0,20.0,16.0,2.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.2,10.0,36.0,5.4,50.0,254.0,3197.0,735.0,481.0,98,Josh Brownhill,MID,4
98.0,36.0,14.0,2.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.6,15.8,6.0,3.1,50.0,108.0,3499.0,524.0,416.0,98,Josh Brownhill,MID,4
98.0,48.0,18.0,3.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.2,1.8,0.0,1.0,50.0,-295.0,3375.0,227.0,522.0,98,Josh Brownhill,MID,4
99.0,14.0,9.0,0.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2797.0,97704.0,6754.0,3957.0,99,Bailey Peacock-Farrell,GK,4
99.0,20.0,16.0,0.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2434.0,103720.0,8941.0,6507.0,99,Bailey Peacock-Farrell,GK,4
99.0,36.0,14.0,0.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1486.0,107272.0,5096.0,3610.0,99,Bailey Peacock-Farrell,GK,4
99.0,48.0,18.0,0.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,558.0,108650.0,9076.0,8518.0,99,Bailey Peacock-Farrell,GK,4
