chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,gw,name,position
,,154043,0,0,-2,2,0,2,1.0,0.5,1,Ainsley,0.5,15,False,,,48,154043.jpg,2.2,Maitland-Niles,1.2,False,,a,1,3,9,45370,246,107602,1615,0.1,1.9,Maitland-Niles,187,0,0,1,3,0,0,0,0,0,0,0,35,20.2,4.3,7.0,3.2,303,124,307,103,281,91,337,122,,,,,,,7,Ainsley Maitland-Niles,DEF
0.0,0.0,156074,-1,1,-1,1,0,2,0.0,0.0,5,Rob,1.2,16,False,Hamstring injury - Expected back 21 Nov,2020-10-17T22:30:19.025474Z,44,156074.jpg,3.5,Holding,1.2,False,,i,1,3,14,159119,182,190683,5355,0.3,3.2,Holding,360,0,0,2,4,0,0,0,1,0,0,0,83,66.2,1.6,0.0,6.8,177,73,334,121,418,169,274,95,,,,,,,7,Rob Holding,DEF
100.0,100.0,192895,0,0,-1,1,0,2,3.5,3.0,6,Kieran,3.0,17,False,,2020-10-14T10:30:19.613747Z,54,192895.jpg,3.2,Tierney,5.3,False,,a,1,3,19,97556,2263,506471,2550,0.6,3.5,Tierney,530,0,0,2,6,0,0,0,0,0,0,0,105,75.0,57.8,19.0,15.2,155,61,107,24,221,66,151,42,,,,,,,7,Kieran Tierney,DEF
,,195735,0,0,-3,3,0,3,2.7,2.2,0,Nicolas,2.2,18,False,,,77,195735.jpg,2.0,Pépé,0.9,False,,a,1,3,12,19426,792,115163,1083,0.3,1.6,Pépé,202,1,0,0,4,0,0,0,0,0,0,0,35,38.8,21.4,61.0,12.1,244,98,217,126,97,55,199,94,2.0,,3.0,,2.0,,7,Nicolas Pépé,MID
0.0,0.0,198849,0,0,-3,3,0,3,0.0,0.0,0,Lucas,0.0,19,False,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,47,198849.jpg,0.0,Torreira,0.1,False,,n,1,3,0,3240,4,15564,142,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,519,204,506,203,484,193,523,204,,,,,,,7,Lucas Torreira,MID
,,200089,0,0,-2,2,0,3,0.5,0.0,0,Joseph,0.0,20,False,,,48,200089.jpg,0.0,Willock,0.1,False,,a,1,3,0,2095,101,6086,102,0.0,0.0,Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,534,213,524,212,507,205,538,213,,,,,,,7,Joseph Willock,MID
100.0,100.0,200641,0,0,-3,3,0,3,0.5,0.0,0,Reiss,0.0,21,False,,2020-10-05T10:00:15.059375Z,52,200641.jpg,0.0,Nelson,0.1,False,,a,1,3,0,923,41,4546,51,0.0,0.0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,565,225,560,224,555,221,569,225,5.0,,,,,,7,Reiss Nelson,MID
,,205533,0,0,-3,3,0,4,1.5,1.0,1,Edward,1.0,22,False,,,57,205533.jpg,2.0,Nketiah,0.7,False,,a,1,3,14,29404,413,112117,940,0.2,2.5,Nketiah,120,1,0,0,1,0,0,0,0,0,0,3,47,40.6,4.2,42.0,8.5,235,25,308,44,148,35,253,35,,,,,,,7,Edward Nketiah,FWD
100.0,100.0,209289,0,0,-1,1,0,3,0.5,0.0,0,Emile,0.0,23,False,,2020-09-11T11:00:08.673059Z,44,209289.jpg,0.0,Smith Rowe,0.2,False,,a,1,3,0,11347,311,14074,301,0.0,0.0,Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,469,182,452,181,422,167,474,182,,,,,,,7,Emile Smith Rowe,MID
100.0,100.0,223340,0,0,-2,2,0,3,4.5,4.0,3,Bukayo,4.0,24,False,,2020-10-26T14:00:19.932354Z,53,223340.jpg,3.6,Saka,2.8,False,,a,1,3,18,76805,2539,397493,2969,0.8,3.4,Saka,418,1,0,2,3,0,0,0,0,0,0,1,69,76.6,58.1,173.0,30.8,150,57,105,68,29,11,57,32,4.0,,,,,,7,Bukayo Saka,MID
