element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,player_id,name,position,team,gw
4,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,117,-191185,1011750,6334,197519,4,Pierre-Emerick Aubameyang,MID,1,7
5,2,8,0,False,2020-09-12T11:30:00Z,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,35774,0,0,5,Cédric Soares,DEF,1,1
5,9,19,0,True,2020-09-19T19:00:00Z,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-11854,27448,901,12755,5,Cédric Soares,DEF,1,2
5,23,11,0,False,2020-09-28T19:00:00Z,3.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-8218,20173,449,8667,5,Cédric Soares,DEF,1,3
5,29,15,0,True,2020-10-04T13:00:00Z,2.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-3849,16771,218,4067,5,Cédric Soares,DEF,1,4
5,44,12,0,False,2020-10-17T16:30:00Z,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1444,16059,518,1962,5,Cédric Soares,DEF,1,5
5,49,9,0,True,2020-10-25T19:15:00Z,0.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1068,15289,280,1348,5,Cédric Soares,DEF,1,6
5,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-822,14693,212,1034,5,Cédric Soares,DEF,1,7
6,2,8,7,False,2020-09-12T11:30:00Z,0.0,3.0,1,86,1,0,1,0,0,0,0,0,0,0,1,29,38.6,12.7,48.0,9.9,85,0,196064,0,0,6,Alexandre Lacazette,FWD,1,1
6,9,19,7,True,2020-09-19T19:00:00Z,2.0,1.0,2,76,1,0,0,1,0,0,0,0,0,0,1,29,33.0,5.7,31.0,7.0,85,59951,342387,93434,33483,6,Alexandre Lacazette,FWD,1,2
6,23,11,7,False,2020-09-28T19:00:00Z,3.0,1.0,3,73,1,0,0,2,0,0,0,0,0,0,1,22,40.4,11.4,55.0,10.7,85,-21852,340935,47809,69661,6,Alexandre Lacazette,FWD,1,3
6,29,15,0,True,2020-10-04T13:00:00Z,2.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,29347,395242,65917,36570,6,Alexandre Lacazette,FWD,1,4
6,44,12,1,False,2020-10-17T16:30:00Z,1.0,0.0,5,21,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,85,-58733,339461,24370,83103,6,Alexandre Lacazette,FWD,1,5
6,49,9,1,True,2020-10-25T19:15:00Z,0.0,1.0,6,90,0,0,0,1,0,0,0,1,0,0,0,-3,2.4,21.4,46.0,7.0,85,-55111,290288,7838,62949,6,Alexandre Lacazette,FWD,1,6
6,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-38142,256783,3406,41548,6,Alexandre Lacazette,FWD,1,7
7,2,8,0,False,2020-09-12T11:30:00Z,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,899,0,0,7,Shkodran Mustafi,DEF,1,1
7,9,19,0,True,2020-09-19T19:00:00Z,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-153,1016,41,194,7,Shkodran Mustafi,DEF,1,2
7,23,11,0,False,2020-09-28T19:00:00Z,3.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-102,1030,9679,9781,7,Shkodran Mustafi,DEF,1,3
7,29,15,0,True,2020-10-04T13:00:00Z,2.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-79,1016,51,130,7,Shkodran Mustafi,DEF,1,4
7,44,12,0,False,2020-10-17T16:30:00Z,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-39,1020,57,96,7,Shkodran Mustafi,DEF,1,5
7,49,9,1,True,2020-10-25T19:15:00Z,0.0,1.0,6,41,0,0,0,1,0,0,0,0,0,0,0,9,7.6,1.0,0.0,0.9,50,78,1197,155,77,7,Shkodran Mustafi,DEF,1,6
7,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,182,1723,269,87,7,Shkodran Mustafi,DEF,1,7
8,2,8,7,False,2020-09-12T11:30:00Z,0.0,3.0,1,90,0,0,1,0,0,0,0,0,0,2,1,29,14.0,0.0,0.0,1.4,50,0,400285,0,0,8,Bernd Leno,GK,1,1
8,9,19,2,True,2020-09-19T19:00:00Z,2.0,1.0,2,90,0,0,0,1,0,0,0,0,0,2,0,18,18.0,0.0,0.0,1.8,50,71268,614046,112820,41552,8,Bernd Leno,GK,1,2
8,23,11,3,False,2020-09-28T19:00:00Z,3.0,1.0,3,90,0,0,0,3,0,0,0,0,0,5,1,22,35.8,0.0,0.0,3.6,50,-33085,605224,57089,90174,8,Bernd Leno,GK,1,3
8,29,15,2,True,2020-10-04T13:00:00Z,2.0,1.0,4,90,0,0,0,1,0,0,0,0,0,1,0,12,11.2,0.0,0.0,1.1,50,32333,675971,67684,35351,8,Bernd Leno,GK,1,4
8,44,12,3,False,2020-10-17T16:30:00Z,1.0,0.0,5,90,0,0,0,1,0,0,0,0,0,4,0,19,31.6,0.0,0.0,3.2,50,-1770,689120,58395,60165,8,Bernd Leno,GK,1,5
8,49,9,2,True,2020-10-25T19:15:00Z,0.0,1.0,6,90,0,0,0,1,0,0,0,0,0,1,0,11,12.0,0.0,0.0,1.2,50,-6968,693944,29541,36509,8,Bernd Leno,GK,1,6
8,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-33754,664379,6637,40391,8,Bernd Leno,GK,1,7
9,2,8,3,False,2020-09-12T11:30:00Z,0.0,3.0,1,77,0,0,1,0,0,0,0,0,0,0,0,11,6.8,17.2,21.0,4.5,55,0,42909,0,0,9,Granit Xhaka,MID,1,1
9,9,19,2,True,2020-09-19T19:00:00Z,2.0,1.0,2,90,0,0,0,1,0,0,0,0,0,0,0,10,16.4,6.7,0.0,2.3,55,670,58116,9879,9209,9,Granit Xhaka,MID,1,2
9,23,11,1,False,2020-09-28T19:00:00Z,3.0,1.0,3,59,0,0,0,2,0,0,0,0,0,0,0,8,6.8,3.4,0.0,1.0,55,-8902,53341,3582,12484,9,Granit Xhaka,MID,1,3
9,29,15,1,True,2020-10-04T13:00:00Z,2.0,1.0,4,9,0,0,0,1,0,0,0,0,0,0,0,3,1.4,0.0,0.0,0.1,55,-3370,53027,3893,7263,9,Granit Xhaka,MID,1,4
9,44,12,2,False,2020-10-17T16:30:00Z,1.0,0.0,5,82,0,0,0,1,0,0,0,0,0,0,0,10,6.4,1.8,0.0,0.8,54,-7416,46661,1557,8973,9,Granit Xhaka,MID,1,5
9,49,9,1,True,2020-10-25T19:15:00Z,0.0,1.0,6,90,0,0,0,1,0,0,0,1,0,0,0,5,14.0,4.7,8.0,2.7,54,-3447,44236,953,4400,9,Granit Xhaka,MID,1,6
9,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2737,42146,789,3526,9,Granit Xhaka,MID,1,7
10,2,8,0,False,2020-09-12T11:30:00Z,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,769,0,0,10,Pablo Marí,DEF,1,1
10,9,19,0,True,2020-09-19T19:00:00Z,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-153,740,38,191,10,Pablo Marí,DEF,1,2
10,23,11,0,False,2020-09-28T19:00:00Z,3.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-83,705,69,152,10,Pablo Marí,DEF,1,3
10,29,15,0,True,2020-10-04T13:00:00Z,2.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-55,667,31,86,10,Pablo Marí,DEF,1,4
10,44,12,0,False,2020-10-17T16:30:00Z,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-50,636,45,95,10,Pablo Marí,DEF,1,5
10,49,9,0,True,2020-10-25T19:15:00Z,0.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-19,630,53,72,10,Pablo Marí,DEF,1,6
10,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-33,608,18,51,10,Pablo Marí,DEF,1,7
11,2,8,5,False,2020-09-12T11:30:00Z,0.0,3.0,1,90,0,0,1,0,0,0,0,1,0,0,0,23,9.8,26.4,4.0,4.0,50,0,240975,0,0,11,Héctor Bellerín,DEF,1,1
11,9,19,2,True,2020-09-19T19:00:00Z,2.0,1.0,2,90,0,0,0,1,0,0,0,0,0,0,0,10,7.6,6.9,2.0,1.7,50,23037,326713,54450,31413,11,Héctor Bellerín,DEF,1,2
11,23,11,0,False,2020-09-28T19:00:00Z,3.0,1.0,3,90,0,0,0,3,0,0,0,1,0,0,0,12,15.6,1.5,2.0,1.9,50,-19029,323391,39377,58406,11,Héctor Bellerín,DEF,1,3
11,29,15,11,True,2020-10-04T13:00:00Z,2.0,1.0,4,90,0,2,0,1,0,0,0,0,0,0,3,36,44.8,26.0,4.0,7.5,50,-9896,326848,23203,33099,11,Héctor Bellerín,DEF,1,4
11,44,12,2,False,2020-10-17T16:30:00Z,1.0,0.0,5,90,0,0,0,1,0,0,0,0,0,0,0,15,10.8,2.0,0.0,1.3,50,55973,403783,95561,39588,11,Héctor Bellerín,DEF,1,5
11,49,9,1,True,2020-10-25T19:15:00Z,0.0,1.0,6,90,0,0,0,1,0,0,0,1,0,0,0,8,6.6,4.1,21.0,3.2,50,21627,430008,47560,25933,11,Héctor Bellerín,DEF,1,6
11,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-6360,426299,21355,27715,11,Héctor Bellerín,DEF,1,7
13,2,8,0,False,2020-09-12T11:30:00Z,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1043,0,0,13,Calum Chambers,DEF,1,1
13,9,19,0,True,2020-09-19T19:00:00Z,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-177,1100,75,252,13,Calum Chambers,DEF,1,2
13,23,11,0,False,2020-09-28T19:00:00Z,3.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-117,1040,83,200,13,Calum Chambers,DEF,1,3
13,29,15,0,True,2020-10-04T13:00:00Z,2.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-94,989,49,143,13,Calum Chambers,DEF,1,4
13,44,12,0,False,2020-10-17T16:30:00Z,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-62,951,46,108,13,Calum Chambers,DEF,1,5
13,49,9,0,True,2020-10-25T19:15:00Z,0.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-30,935,30,60,13,Calum Chambers,DEF,1,6
13,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-35,921,27,62,13,Calum Chambers,DEF,1,7
14,2,8,0,False,2020-09-12T11:30:00Z,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,17088,0,0,14,Sead Kolasinac,DEF,1,1
14,9,19,2,True,2020-09-19T19:00:00Z,2.0,1.0,2,90,0,0,0,1,0,0,0,0,0,0,0,9,3.6,5.4,4.0,1.3,49,-4572,15419,492,5064,14,Sead Kolasinac,DEF,1,2
14,23,11,0,False,2020-09-28T19:00:00Z,3.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-427,17142,2149,2576,14,Sead Kolasinac,DEF,1,3
14,29,15,0,True,2020-10-04T13:00:00Z,2.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1375,16501,764,2139,14,Sead Kolasinac,DEF,1,4
14,44,12,0,False,2020-10-17T16:30:00Z,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1807,15296,402,2209,14,Sead Kolasinac,DEF,1,5
14,49,9,0,True,2020-10-25T19:15:00Z,0.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1107,14538,299,1406,14,Sead Kolasinac,DEF,1,6
14,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-862,13977,235,1097,14,Sead Kolasinac,DEF,1,7
15,2,8,6,False,2020-09-12T11:30:00Z,0.0,3.0,1,90,0,0,1,0,0,0,0,0,0,0,0,21,10.2,2.8,4.0,1.7,50,0,112927,0,0,15,Ainsley Maitland-Niles,DEF,1,1
