,imp,feature_name
144,11277.782693862915,yellow_cards_lag_1
145,11047.621576786041,own_strength
146,9463.99801826477,clean_sheets_lag_1
147,8108.746780395508,team_a_score_lag_1
148,7932.676814079285,saves_lag_1
149,5765.811893463135,opp_strength
150,5333.005274772644,was_home_lag_2
151,3949.690273284912,was_home_lag_1
152,3569.349920272827,assists_lag_3
153,3367.277298927307,clean_sheets_lag_3
154,3312.076229572296,bonus_lag_3
155,3136.624008178711,clean_sheets_lag_2
156,3061.18399810791,was_home_lag_3
157,2534.0501832962036,saves_lag_3
158,2189.26700592041,yellow_cards_lag_2
159,1694.743902683258,own_goals_lag_3
160,1612.1971817016602,opp_strength_lag_3
161,1548.5925903320312,yellow_cards_lag_3
162,1506.7099208831787,opp_strength_lag_2
163,1164.9427967071533,bonus_lag_1
164,1062.3023929595947,opp_strength_lag_1
165,1009.8581066131592,bonus_lag_2
166,883.3817892074585,assists_lag_2
167,434.54420280456543,goals_scored_lag_1
168,332.1619482040405,own_goals_lag_1
169,314.5837469100952,penalties_saved_lag_2
170,274.5356969833374,goals_scored_lag_2
171,201.79669761657715,assists_lag_1
172,127.5359001159668,red_cards_lag_2
173,19.098600387573242,red_cards_lag_3
174,0.0,penalties_missed_lag_3
175,0.0,penalties_missed_lag_2
176,0.0,penalties_missed_lag_1
177,0.0,goals_scored_lag_3
178,0.0,penalties_saved_lag_1
179,0.0,own_goals_lag_2
180,0.0,penalties_saved_lag_3
